1,juuju,3/23/2024,Medical,Rejected,
2,Marin,5/20/2024,Medical,Rejected,
2,JJ,5/20/2024,Personal,Approved,
3,JAJA,5/20/2024,Vacation,Approved,
1,juuju,3/23/2024,Medical,Rejected,
2,Marin,5/20/2024,Medical,Approved,
2,JJ,5/20/2024,Personal,Approved,
3,JAJA,5/20/2024,Vacation,Approved,
1,juuju,3/23/2024,Medical,Approved,
2,Marin,5/20/2024,Medical,Approved,
2,JJ,5/20/2024,Personal,Rejected,
3,JAJA,5/20/2024,Vacation,Rejected,
1,juuju,3/23/2024,Medical,Approved,
2,Marin,5/20/2024,Medical,Approved,
2,JJ,5/20/2024,Personal,Rejected,
3,JAJA,5/20/2024,Vacation,Approved,
1,juuju,3/23/2024,Medical,Approved,
2,Marin,5/20/2024,Medical,Approved,
2,JJ,5/20/2024,Personal,Approved,
3,JAJA,5/20/2024,Vacation,Approved,
1,juuju,3/23/2024,Medical,Rejected,
2,Marin,5/20/2024,Medical,Rejected,
2,JJ,5/20/2024,Personal,Approved,
3,JAJA,5/20/2024,Vacation,Approved,
